subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1108.19,场外_理财品种_信托业保障基金,1108,其他交易性金融资产投资,2,1108,2,false,"[""1108"",""1108.19""]"
1108.01.03,应计其他交易性金融资产利息_场外_信托,1108.01,场外_信托,3,1108,3,false,"[""1108"",""1108.01"",""1108.01.03""]"
1108.19.01,场外_理财品种_信托业保障基金_成本,1108.19,场外_理财品种_信托业保障基金,3,1108,3,false,"[""1108"",""1108.19"",""1108.19.01""]"
1108.01.03.XTYBZJJJX OTC,信托业保障基金（计提收益）,1108.01.03,应计其他交易性金融资产利息_场外_信托,4,1108,4,true,"[""1108"",""1108.01"",""1108.01.03"",""1108.01.03.XTYBZJJJX OTC""]"
1108.19.01.XTYBZJJJX OTC,信托业保障基金（计提收益）,1108.19.01,场外_理财品种_信托业保障基金_成本,4,1108,4,true,"[""1108"",""1108.19"",""1108.19.01"",""1108.19.01.XTYBZJJJX OTC""]"
2206,应付管理人报酬,,,1,2206,1,false,"[""2206""]"
2206.05,应付受托人固定受托费,2206,应付管理人报酬,2,2206,2,true,"[""2206"",""2206.05""]"
2207,应付托管费,,,1,2207,1,false,"[""2207""]"
2207.01,应付托管费,2207,应付托管费,2,2207,2,true,"[""2207"",""2207.01""]"
2209,应付交易费用,,,1,2209,1,false,"[""2209""]"
2209.02,应付交易费用,2209,应付交易费用,2,2209,2,false,"[""2209"",""2209.02""]"
2209.02.01,结算服务费,2209.02,应付交易费用,3,2209,3,false,"[""2209"",""2209.02"",""2209.02.01""]"
2209.02.02,交易手续费,2209.02,应付交易费用,3,2209,3,false,"[""2209"",""2209.02"",""2209.02.02""]"
2209.02.01.04,应付上清所债券结算服务费,2209.02.01,结算服务费,4,2209,4,true,"[""2209"",""2209.02"",""2209.02.01"",""2209.02.01.04""]"
2209.02.02.04,应付上清所债券交易手续费,2209.02.02,交易手续费,4,2209,4,true,"[""2209"",""2209.02"",""2209.02.02"",""2209.02.02.04""]"
2221,应付税费,,,1,2221,1,false,"[""2221""]"
2221.05,应付税费_增值税,2221,应付税费,2,2221,2,false,"[""2221"",""2221.05""]"
2221.06,应付税费_附加税,2221,应付税费,2,2221,2,false,"[""2221"",""2221.06""]"
2221.05.02,应付税费_销项税_金融商品转让,2221.05,应付税费_增值税,3,2221,3,true,"[""2221"",""2221.05"",""2221.05.02""]"
2221.06.01,应付税费_城建税,2221.06,应付税费_附加税,3,2221,3,true,"[""2221"",""2221.06"",""2221.06.01""]"
2221.06.02,应付税费_教育税,2221.06,应付税费_附加税,3,2221,3,true,"[""2221"",""2221.06"",""2221.06.02""]"
2221.06.03,应付税费_地方教育税,2221.06,应付税费_附加税,3,2221,3,true,"[""2221"",""2221.06"",""2221.06.03""]"
2232,应付利润,,,1,2232,1,false,"[""2232""]"
2232.01,应付利润,2232,应付利润,2,2232,2,true,"[""2232"",""2232.01""]"
