DJ0233大家资产厚坤36号集合资产管理产品委托资产估值表20230321,,,,,,,,,,,,,
,,,,,,,,,,,,,
大家资产管理有限公司_大家资产厚坤36号集合资产管理产品_专用表,,,,,,,,,,,,,
日期：2023-03-21,,,,,,,单位净值：1.1029,,,,,,
科目代码,科目名称,币种,汇率,数量,单位成本,成本,成本占比,行情,市值,市值占比,估值增值,停牌信息,权益信息
,,,,,,本币,,,本币,,本币,,
,,,,,,十亿千百十万千百十元角分,,,十亿千百十万千百十元角分,,十亿千百十万千百十元角分,,
同业市场融券合计,,,,"5,600,000.00",,"560,000,480.00",6.4653%,,"560,000,480.00",6.4653%,,,
实收资本,,,,"7,853,420,153.89",1.00,"7,853,420,153.89",90.6693%,,"7,853,420,153.89",90.6693%,,,
损益平准金-已实现,,,,,,"-136,392,353.52",-1.5747%,,"-136,392,353.52",-1.5747%,,,
资产合计,,,,,,"8,666,033,354.77",100.0511%,,"8,666,033,354.77",100.0511%,,,
负债合计,,,,,,"4,423,322.30",0.0511%,,"4,423,322.30",0.0511%,,,
资产净值,,,,,,"8,661,610,032.47",100.0000%,,"8,661,610,032.47",100.0000%,,,
,,,,,,,,,,,,,
资产支持证券投资资产合计占比,0.0000%,,,,,,,,,,,,
金融商品转让-应付税费余额 ,"-142,737.96",,,,,,,,,,,,
利息收入-应付税费余额 ,0.00,,,,,,,,,,,,
净值日增长率（时间加权）,0.01%,,,,,,,,,,,,
本期净值增长率（时间加权）,-13.85%,,,,,,,,,,,,
累计净值增长率（时间加权）,432976.89%,,,,,,,,,,,,
金融商品转让-计税基准,"-4,900,670.00",,,,,,,,,,,,
金融商品转让-待抵扣计税基准,0.00,,,,,,,,,,,,
利息收入-计税基准 ,0.00,,,,,,,,,,,,
期初单位净值,1.0962,,,,,,,,,,,,
今日单位净值,1.1029,,,,,,,,,,,,
昨日单位净值,1.1028,,,,,,,,,,,,
累计单位净值,1.1029,,,,,,,,,,,,
日净值增长率,0.0091%,,,,,,,,,,,,
本期净值增长率,0.6112%,,,,,,,,,,,,
本期净值增长率(当月),0.1726%,,,,,,,,,,,,
累计净值增长率,10.29%,,,,,,,,,,,,
实现收益,"56,377,720.47",,,,,,,,,,,,
可分配收益,"808,189,878.58",,,,,,,,,,,,
单位可分配收益,0.1029,,,,,,,,,,,,
本季度净值增长率,0.6112%,,,,,,,,,,,,
每日收益,"736,161.64",,,,,,,,,,,,
每日万份收益,0.9374,,,,,,,,,,,,
投资组合剩余期限,781,,,,,,,,,,,,
投资组合剩余期限(加基金),781,,,,,,,,,,,,
最近一年年化收益率,2.2055%,,,,,,,,,,,,
其中北京预算最低备付金,0.00,,,,,,,,,,,,
现金类占净值比,0.12%,,,,,,,,,,,,
投资组合平均剩余存续期,781,,,,,,,,,,,,
,,,,,,,,,,,,,
